INSTITUTION	STATE	COUNTRY	FY	TOTAL_FUNDING
H LEE MOFFITT CANCER CTR & RES INST	FL	UNITED STATES	2015	630698
UNIVERSITY OF LOUISVILLE	KY	UNITED STATES	2015	301911
UNIVERSITY OF CALIFORNIA SANTA CRUZ	CA	UNITED STATES	2015	37295
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	311400
HARVARD UNIVERSITY	MA	UNITED STATES	2015	402402
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	484136
WISTAR INSTITUTE	PA	UNITED STATES	2015	357447
SARC	MI	UNITED STATES	2015	2185000
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	171720
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2015	312523
UNIVERSITY OF CHICAGO	IL	UNITED STATES	2015	327850
VANDERBILT UNIVERSITY	TN	UNITED STATES	2015	325775
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2015	190173
FLORIDA ATLANTIC UNIVERSITY	FL	UNITED STATES	2015	205756
STATE UNIVERSITY NEW YORK STONY BROOK	NY	UNITED STATES	2015	219758
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	165300
UNIVERSITY OF UTAH	UT	UNITED STATES	2015	309175
AMERICAN UNIVERSITY	DC	UNITED STATES	2015	153593
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	103421
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2015	320588
MAYO CLINIC	MN	UNITED STATES	2015	561339
UNIVERSITY OF COLORADO AT BOULDER	CO	UNITED STATES	2015	192515
MEDICAL COLLEGE OF WISCONSIN	WI	UNITED STATES	2015	680845
STANFORD UNIVERSITY	CA	UNITED STATES	2015	215655
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	IN	UNITED STATES	2015	169650
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2015	749896
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2015	747798
GEORGIA HEALTH SCIENCES UNIVERSITY	GA	UNITED STATES	2015	315400
HARVARD PILGRIM HEALTH CARE INC	MA	UNITED STATES	2015	572681
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT	TX	UNITED STATES	2015	1800000
BRIGHAM AND WOMEN'S HOSPITAL	MA	UNITED STATES	2015	2250582
UNIVERSITY OF WASHINGTON	WA	UNITED STATES	2015	395930
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2015	2643408
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2015	342954
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2015	156197
AVERA MCKENNAN	SD	UNITED STATES	2015	462358
STEMSYNERGY THERAPEUTICS INC	FL	UNITED STATES	2015	907344
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	249000
CANCER PREVENTION INSTIT OF CALIFORNIA	CA	UNITED STATES	2015	194445
WISTAR INSTITUTE	PA	UNITED STATES	2015	2185000
WISTAR INSTITUTE	PA	UNITED STATES	2015	369673
WISTAR INSTITUTE	PA	UNITED STATES	2015	317460
WISTAR INSTITUTE	PA	UNITED STATES	2015	505045
WISTAR INSTITUTE	PA	UNITED STATES	2015	132294
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2015	336150
WISTAR INSTITUTE	PA	UNITED STATES	2015	369688
WISTAR INSTITUTE	PA	UNITED STATES	2015	9000000
WISTAR INSTITUTE	PA	UNITED STATES	2015	525146
WISTAR INSTITUTE	PA	UNITED STATES	2015	397802
WAYNE STATE UNIVERSITY	MI	UNITED STATES	2015	112700
UNIVERSITY OF CHICAGO	IL	UNITED STATES	2015	169128
OHIO STATE UNIVERSITY	OH	UNITED STATES	2015	115080
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	861150
UNIVERSITY OF CALIFORNIA DAVIS	CA	UNITED STATES	2015	262855
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2015	177660
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	152868
CHILDRENS HOSPITAL OF PHILADELPHIA	PA	UNITED STATES	2015	169657
VIRGINIA COMMONWEALTH UNIVERSITY	VA	UNITED STATES	2015	200051
GEORGETOWN UNIVERSITY	DC	UNITED STATES	2015	564382
VANDERBILT UNIVERSITY	TN	UNITED STATES	2015	315367
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2015	87950
GEORGE WASHINGTON UNIVERSITY	DC	UNITED STATES	2015	172369
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT	CT	UNITED STATES	2015	379016
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	75963
STANFORD UNIVERSITY	CA	UNITED STATES	2015	614899
OHIO STATE UNIVERSITY	OH	UNITED STATES	2015	319550
PENNSYLVANIA STATE UNIVERSITY-UNIV PARK	PA	UNITED STATES	2015	163886
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN	IL	UNITED STATES	2015	168561
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	172656
INSTITUTE FOR SYSTEMS BIOLOGY	WA	UNITED STATES	2015	571080
ALBERT EINSTEIN COLLEGE OF MEDICINE	NY	UNITED STATES	2015	751198
UNIVERSITY OF ILLINOIS AT CHICAGO	IL	UNITED STATES	2015	181818
