	YEAR	INSTITUTION	PATENTS_FILED_COUNT	PATENTS_GRANTED_COUNT	ONGOING_TRIALS_COUNT	STATE	TOTAL_FUNDING
0	2001.0	AFFYMETRIX, INC.	1.0	0.0	0.0		
1	2001.0	ALBANY MEDICAL COLLEGE	1.0	0.0	0.0		
2	2001.0	ALBERT EINSTEIN COLLEGE OF MEDICINE, INC	3.0	0.0	0.0		
3	2001.0	ARIZONA STATE UNIVERSITY-TEMPE CAMPUS	2.0	0.0	0.0		
4	2001.0	ARTANN LABORATORIES, INC.	1.0	0.0	0.0		
5	2001.0	BECKMAN RESEARCH INSTITUTE/CITY OF HOPE	1.0	0.0	0.0		
6	2001.0	BETH ISRAEL DEACONESS MEDICAL CENTER	2.0	0.0	1.0		
7	2001.0	BOLDER BIOTECHNOLOGY, INC.	2.0	0.0	0.0		
8	2001.0	BOSTON UNIVERSITY MEDICAL CAMPUS	2.0	0.0	0.0		
9	2001.0	BRIGHAM AND WOMEN'S HOSPITAL	7.0	0.0	0.0		
10	2001.0	CALIFORNIA INSTITUTE OF TECHNOLOGY	5.0	0.0	0.0		
11	2001.0	CALIFORNIA PACIFIC MEDICAL CTR RES INST	1.0	0.0	0.0		
12	2001.0	CASE WESTERN RESERVE UNIVERSITY	4.0	0.0	0.0		
13	2001.0	CEDARS-SINAI MEDICAL CENTER	1.0	0.0	0.0		
14	2001.0	CHILDREN'S HOSPITAL CORPORATION	1.0	0.0	0.0		
15	2001.0	CHILDREN'S HOSPITAL OF LOS ANGELES	2.0	0.0	0.0		
16	2001.0	COLORADO STATE UNIVERSITY	1.0	0.0	0.0		
17	2001.0	COLUMBIA UNIV NEW YORK MORNINGSIDE	8.0	0.0	0.0		
18	2001.0	CORIXA CORPORATION	2.0	0.0	0.0		
19	2001.0	CORNELL UNIVERSITY	14.0	0.0	0.0		
20	2001.0	CYNTELLECT, INC.	1.0	0.0	0.0		
21	2001.0	DANA-FARBER CANCER INST	6.0	0.0	0.0		
22	2001.0	DARTMOUTH COLLEGE	2.0	0.0	0.0		
23	2001.0	DR. JOHN KREIDER	1.0	0.0	0.0		
24	2001.0	DUKE UNIVERSITY	1.0	0.0	1.0		
25	2001.0	DUQUESNE UNIVERSITY	2.0	0.0	0.0		
26	2001.0	EMORY UNIVERSITY	3.0	0.0	0.0		
27	2001.0	FLORIDA ATLANTIC UNIVERSITY	2.0	0.0	0.0		
28	2001.0	FRED HUTCHINSON CANCER RESEARCH CENTER	1.0	0.0	2.0		
29	2001.0	GEORGE WASHINGTON UNIVERSITY	1.0	0.0	0.0		
30	2001.0	GEORGETOWN UNIVERSITY	3.0	0.0	2.0		
31	2001.0	HARVARD UNIVERSITY	2.0	0.0	0.0		
32	2001.0	IA, INC.	1.0	0.0	0.0		
33	2001.0	INDIANA UNIVERSITY	3.0	0.0	0.0		
34	2001.0	J. DAVID GLADSTONE INSTITUTES	1.0	0.0	0.0		
35	2001.0	JOHNS HOPKINS UNIVERSITY	6.0	0.0	0.0		
36	2001.0	KANSAS STATE UNIVERSITY	1.0	0.0	0.0		
37	2001.0	LA JOLLA INST FOR ALLERGY & IMMUNOLGY	2.0	0.0	0.0		
38	2001.0	LANKENAU INSTITUTE FOR MEDICAL RESEARCH	2.0	0.0	0.0		
39	2001.0	MASSACHUSETTS GENERAL HOSPITAL	8.0	0.0	1.0		
40	2001.0	MASSACHUSETTS INSTITUTE OF TECHNOLOGY	6.0	0.0	0.0		
41	2001.0	MAYO CLINIC ROCHESTER	4.0	0.0	0.0		
42	2001.0	MEDICAL COLLEGE OF WISCONSIN	3.0	0.0	0.0		
43	2001.0	MEDICAL DISCOVERY PARTNERS, LLC	1.0	0.0	0.0		
44	2001.0	MEDICAL UNIVERSITY OF SOUTH CAROLINA	1.0	0.0	1.0		
45	2001.0	NATIONAL JEWISH HEALTH	2.0	0.0	0.0		
46	2001.0	NEUROCRINE BIOSCIENCES, INC.	1.0	0.0	0.0		
47	2001.0	NORTHWESTERN UNIVERSITY	3.0	0.0	0.0		
48	2001.0	OHIO STATE UNIVERSITY	2.0	0.0	0.0		
49	2001.0	OKLAHOMA MEDICAL RESEARCH FOUNDATION	1.0	0.0	0.0		
50	2001.0	OKLAHOMA STATE UNIVERSITY AT STILLWATER	1.0	0.0	0.0		
51	2001.0	OREGON HEALTH & SCIENCE UNIVERSITY	6.0	0.0	0.0		
52	2001.0	PENNSYLVANIA STATE UNIVERSITY	3.0	0.0	0.0		
53	2001.0	PRINCETON UNIVERSITY	1.0	0.0	0.0		
54	2001.0	PURDUE UNIVERSITY	1.0	0.0	0.0		
55	2001.0	RESEARCH TRIANGLE INSTITUTE	2.0	0.0	0.0		
56	2001.0	ROBERT SACKSTEIN	1.0	0.0	0.0		
57	2001.0	ROCKEFELLER UNIVERSITY	4.0	0.0	0.0		
58	2001.0	ROSWELL PARK CANCER INSTITUTE	2.0	0.0	3.0		
59	2001.0	SALK INSTITUTE FOR BIOLOGICAL STUDIES	5.0	0.0	0.0		
60	2001.0	SANFORD-BURNHAM MEDICAL RESEARCH INSTIT	1.0	0.0	0.0		
61	2001.0	SCHEPENS EYE RESEARCH INSTITUTE	1.0	0.0	0.0		
62	2001.0	SCRIPPS RESEARCH INSTITUTE	14.0	0.0	0.0		
63	2001.0	SIDNEY KIMMEL CANCER CENTER	2.0	0.0	0.0		
64	2001.0	SLOAN-KETTERING INST CAN RESEARCH	10.0	0.0	0.0		
65	2001.0	ST. JUDE CHILDREN'S RESEARCH HOSPITAL	5.0	0.0	0.0		
66	2001.0	STANFORD UNIVERSITY	16.0	0.0	0.0		
67	2001.0	STATE UNIVERSITY NEW YORK STONY BROOK	6.0	0.0	0.0		
68	2001.0	THOMAS JEFFERSON UNIVERSITY	1.0	0.0	0.0		
69	2001.0	TUFTS MEDICAL CENTER	1.0	0.0	0.0		
70	2001.0	UNIV OF MARYLAND, COLLEGE PARK	4.0	0.0	0.0		
71	2001.0	UNIV OF NORTH CAROLINA CHAPEL HILL	3.0	0.0	0.0		
72	2001.0	UNIVERSITY OF ALABAMA AT BIRMINGHAM	4.0	0.0	3.0		
73	2001.0	UNIVERSITY OF ARIZONA	1.0	0.0	5.0		
74	2001.0	UNIVERSITY OF CALIFORNIA BERKELEY	1.0	0.0	0.0		
75	2001.0	UNIVERSITY OF CALIFORNIA LOS ANGELES	4.0	1.0	0.0		
76	2001.0	UNIVERSITY OF CALIFORNIA SAN DIEGO	15.0	0.0	0.0		
77	2001.0	UNIVERSITY OF CALIFORNIA SYS OFFICE/PRES	13.0	0.0	0.0		
78	2001.0	UNIVERSITY OF CALIFORNIA, SAN FRANCISCO	13.0	0.0	1.0		
79	2001.0	UNIVERSITY OF CHICAGO	5.0	0.0	7.0		
80	2001.0	UNIVERSITY OF CINCINNATI	1.0	0.0	0.0		
81	2001.0	UNIVERSITY OF COLORADO	2.0	0.0	0.0		
82	2001.0	UNIVERSITY OF CONNECTICUT SCH OF MED/DNT	3.0	0.0	0.0		
83	2001.0	UNIVERSITY OF FLORIDA	2.0	0.0	0.0		
84	2001.0	UNIVERSITY OF GEORGIA	1.0	0.0	0.0		
85	2001.0	UNIVERSITY OF ILLINOIS AT CHICAGO	3.0	0.0	0.0		
86	2001.0	UNIVERSITY OF IOWA	5.0	0.0	1.0		
87	2001.0	UNIVERSITY OF MARYLAND BALTIMORE	3.0	0.0	0.0		
88	2001.0	UNIVERSITY OF MICHIGAN	9.0	0.0	0.0		
89	2001.0	UNIVERSITY OF MINNESOTA	3.0	0.0	0.0		
90	2001.0	UNIVERSITY OF MISSOURI-COLUMBIA	2.0	0.0	0.0		
91	2001.0	UNIVERSITY OF NEBRASKA MEDICAL CENTER	3.0	0.0	0.0		
92	2001.0	UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR	2.0	0.0	0.0		
93	2001.0	UNIVERSITY OF PENNSYLVANIA	4.0	0.0	0.0		
94	2001.0	UNIVERSITY OF PITTSBURGH	5.0	0.0	1.0		
95	2001.0	UNIVERSITY OF ROCHESTER	2.0	0.0	2.0		
96	2001.0	UNIVERSITY OF SOUTH FLORIDA	5.0	0.0	0.0		
97	2001.0	UNIVERSITY OF SOUTHERN CALIFORNIA	4.0	0.0	1.0		
98	2001.0	UNIVERSITY OF TENNESSEE HEALTH SCI CTR	1.0	0.0	0.0		
99	2001.0	UNIVERSITY OF TEXAS HLTH SCIENCE CENTER	1.0	0.0	0.0		
100	2001.0	UNIVERSITY OF TEXAS MEDICAL BR GALVESTON	1.0	0.0	0.0		
101	2001.0	UNIVERSITY OF TEXAS, AUSTIN	3.0	0.0	0.0		
102	2001.0	UNIVERSITY OF TX MD ANDERSON CAN CTR	10.0	0.0	0.0		
103	2001.0	UNIVERSITY OF UTAH	7.0	0.0	0.0		
104	2001.0	UNIVERSITY OF VERMONT & ST AGRIC COLLEGE	1.0	0.0	0.0		
105	2001.0	UNIVERSITY OF VIRGINIA	1.0	0.0	0.0		
106	2001.0	UNIVERSITY OF WASHINGTON	8.0	0.0	2.0		
