	STATE	PATENTS_FILED_COUNT	PATENTS_GRANTED_COUNT	ONGOING_TRIALS_COUNT	TOTAL_FUNDING	TEXT
0	AL	0	94	6587	124641270.0	AL<br>Patents Filed: 0<br>Patents Granted: 94<br>Clinical Trials Conducted: 6587<br>Funding Received: 124641270.0
1	AR	0	1	0	72000.0	AR<br>Patents Filed: 0<br>Patents Granted: 1<br>Clinical Trials Conducted: 0<br>Funding Received: 72000.0
2	AZ	21	289	1983	123257992.0	AZ<br>Patents Filed: 21<br>Patents Granted: 289<br>Clinical Trials Conducted: 1983<br>Funding Received: 123257992.0
3	CA	8041	17139	3482	880273219.0	CA<br>Patents Filed: 8041<br>Patents Granted: 17139<br>Clinical Trials Conducted: 3482<br>Funding Received: 880273219.0
4	CT	418	1000	2089	147433462.0	CT<br>Patents Filed: 418<br>Patents Granted: 1000<br>Clinical Trials Conducted: 2089<br>Funding Received: 147433462.0
5	DC	46	223	3882	91706222.0	DC<br>Patents Filed: 46<br>Patents Granted: 223<br>Clinical Trials Conducted: 3882<br>Funding Received: 91706222.0
6	FL	295	623	1015	50056627.0	FL<br>Patents Filed: 295<br>Patents Granted: 623<br>Clinical Trials Conducted: 1015<br>Funding Received: 50056627.0
7	GA	207	814	9574	111276699.0	GA<br>Patents Filed: 207<br>Patents Granted: 814<br>Clinical Trials Conducted: 9574<br>Funding Received: 111276699.0
8	HI	0	1	0	452004.0	HI<br>Patents Filed: 0<br>Patents Granted: 1<br>Clinical Trials Conducted: 0<br>Funding Received: 452004.0
9	IA	236	644	758	65286125.0	IA<br>Patents Filed: 236<br>Patents Granted: 644<br>Clinical Trials Conducted: 758<br>Funding Received: 65286125.0
10	IL	271	674	6006	207986821.0	IL<br>Patents Filed: 271<br>Patents Granted: 674<br>Clinical Trials Conducted: 6006<br>Funding Received: 207986821.0
11	IN	0	4	0	1047534.0	IN<br>Patents Filed: 0<br>Patents Granted: 4<br>Clinical Trials Conducted: 0<br>Funding Received: 1047534.0
12	KS	34	49	1912	46828227.0	KS<br>Patents Filed: 34<br>Patents Granted: 49<br>Clinical Trials Conducted: 1912<br>Funding Received: 46828227.0
13	KY	79	119	1129	70757157.0	KY<br>Patents Filed: 79<br>Patents Granted: 119<br>Clinical Trials Conducted: 1129<br>Funding Received: 70757157.0
14	MA	1681	5124	46204	1112887592.0	MA<br>Patents Filed: 1681<br>Patents Granted: 5124<br>Clinical Trials Conducted: 46204<br>Funding Received: 1112887592.0
